prices	0	0	0
stock	4	3	4
stock	129352	208	ботокс	legacy/tag/ботокс-19	NULL	19
stock	134280	596	все тело	legacy/tag/все-тело-408	NULL	408
stock	144592	669	всего тела	legacy/tag/всего-тела-483	NULL	483
stock	144592	666	воротниковая зона	legacy/tag/воротниковая-зона-478	NULL	478
